agent_id,age,tenure_months,commute_minutes,hiring_source,shift_type,queue_type,education,dependents,prior_jobs,compa_ratio,months_since_increment,ijp_rejections,aht_delta_pct,acw_pct_delta_pp,avail_time_delta_pct,adherence_delta_pp,break_overrun_min_30d,late_logins_30d,avg_minutes_late,early_departures_30d,unplanned_absences_30d,fri_mon_absence_ratio,ncns_90d,pto_burn_rate,pto_rejections_180d,shift_swap_requests_30d,short_calls_rate_delta_pp,transfer_rate_delta_pp,occupancy_90d,tl_attrition_rate_6m,team_exits_60d,batch_attrition_rate,attrition_90d
AGT100000,29,11,69,Job Portal,Split,Email,Undergraduate,4,3,0.945,18,0,0.5,0.72,-3.3,-0.53,7.8,3,14.7,1,2,0.46,1,0.96,1,2,0.92,1.41,95.1,0.21,1,0.251,0
AGT100001,22,45,34,Referral,Night Fixed,Voice-Support,Undergraduate,2,0,0.864,10,1,3.1,0.99,0.3,1.1,5.0,0,0.0,0,0,0.0,0,0.9,1,1,-0.1,-0.54,93.6,0.306,1,0.425,0
AGT100002,31,16,58,Job Portal,Night Fixed,Chat,Graduate,1,3,0.927,36,1,12.6,6.34,-8.6,-9.63,12.9,2,8.8,5,3,0.7,1,1.98,2,2,2.49,3.86,93.1,0.2,0,0.285,1
AGT100003,32,28,77,Walk-in,Day Fixed,Voice-Collections,Graduate,1,1,0.952,4,0,-13.2,-0.95,-3.7,2.09,0.0,0,0.0,0,1,0.33,0,0.9,1,1,0.03,0.38,84.8,0.304,0,0.393,0
AGT100004,19,84,26,Job Portal,Rotational,Email,Graduate,1,3,1.052,3,1,-1.1,-0.06,-6.6,-1.97,0.0,0,0.0,0,0,0.0,0,0.51,0,0,-2.64,1.18,70.1,0.156,1,0.142,0
AGT100005,20,38,17,Job Portal,Day Fixed,Chat,Undergraduate,3,1,1.081,6,0,1.5,-0.82,-0.0,3.66,0.0,0,0.0,1,0,0.0,0,0.0,1,0,0.35,0.55,84.5,0.148,0,0.222,0
AGT100006,28,48,32,Job Portal,Night Fixed,Voice-Support,Graduate,0,1,1.106,10,2,7.5,0.81,-0.2,-3.02,0.0,1,4.1,0,0,0.0,0,0.16,1,1,0.08,0.47,80.9,0.329,4,0.443,0
AGT100007,25,9,30,Job Portal,Day Fixed,Escalations,Undergraduate,2,1,1.079,4,0,1.1,1.63,-3.8,-0.43,7.0,0,0.0,4,3,0.47,0,1.19,1,3,0.71,-0.16,97.9,0.496,2,0.124,0
AGT100008,27,3,32,Job Portal,Rotational,Voice-Support,Postgraduate,3,2,0.81,35,0,-4.2,2.05,-6.2,-5.41,3.8,4,13.2,2,9,0.97,3,1.79,1,2,2.35,0.66,84.9,0.185,2,0.472,0
AGT100009,23,7,65,Job Portal,Split,Escalations,Graduate,0,1,0.856,5,3,2.0,5.75,-3.5,-8.56,6.6,4,13.2,0,0,0.0,0,1.4,1,3,-0.37,1.69,82.5,0.293,2,0.16,0
AGT100010,31,1,85,Job Portal,Day Fixed,Voice-Support,Graduate,2,2,1.11,8,0,3.7,0.7,-9.0,-2.89,12.1,4,18.4,3,3,0.85,0,1.44,1,1,2.28,0.98,84.6,0.266,3,0.494,0
AGT100011,31,2,27,Referral,Rotational,Voice-Collections,Graduate,0,1,0.953,9,0,-6.0,0.14,-1.8,2.92,0.0,0,0.0,1,0,0.0,0,0.25,0,0,0.13,-0.22,87.5,0.024,2,0.235,0
AGT100012,27,1,36,Job Portal,Rotational,Chat,Graduate,0,3,0.986,6,0,13.1,5.78,-1.9,-11.52,11.4,7,11.6,7,5,1.0,0,1.43,3,6,4.19,3.21,83.9,0.49,3,0.435,0
AGT100013,33,1,35,Job Portal,Day Fixed,Voice-Support,Undergraduate,0,0,1.063,2,0,3.4,0.16,2.0,-0.05,7.5,3,9.5,1,3,0.09,0,0.0,0,1,2.21,-0.78,84.1,0.315,2,0.214,0
